 ,Area,Mean,IntDen,RawIntDen
1,7204,0.0012,9.0000,9.0000
2,8660,0.0006,5.0000,5.0000
3,7071,0.0000,0.0000,0.0000
4,9277,0.0000,0.0000,0.0000
5,11938,0.0008,9.0000,9.0000
6,13256,0.0014,18.0000,18.0000
7,6980,0.0017,12.0000,12.0000
8,9230,0.0005,5.0000,5.0000
9,5783,0.0016,9.0000,9.0000
10,8714,0.0000,0.0000,0.0000
11,10039,0.0021,21.0000,21.0000
12,12815,0.0016,21.0000,21.0000
13,10080,9.921E-5,1.0000,1.0000
14,8635,0.0002,2.0000,2.0000
15,11411,0.0014,16.0000,16.0000
16,13267,0.0032,42.0000,42.0000
17,11480,0.0014,16.0000,16.0000
18,12916,0.0021,27.0000,27.0000
19,13473,0.0006,8.0000,8.0000
20,9759,0.0013,13.0000,13.0000
21,9142,0.0009,8.0000,8.0000
22,13000,0.0018,23.0000,23.0000
23,9156,0.0038,35.0000,35.0000
24,12167,0.0013,16.0000,16.0000
25,9469,0.0015,14.0000,14.0000
26,11808,0.0024,28.0000,28.0000
27,8048,0.0017,14.0000,14.0000
28,11295,0.0026,29.0000,29.0000
29,9879,0.0016,16.0000,16.0000
30,9631,0.0013,13.0000,13.0000
31,1866,0.0075,14.0000,14.0000
32,11331,0.0027,31.0000,31.0000
33,19478,0.0021,41.0000,41.0000
34,12708,0.0019,24.0000,24.0000
35,9828,0.0016,16.0000,16.0000
36,3699,0.0043,16.0000,16.0000
37,9449,0.0018,17.0000,17.0000
38,10535,0.0009,9.0000,9.0000
39,10448,0.0023,24.0000,24.0000
40,2780,0.0004,1.0000,1.0000
41,7463,0.0032,24.0000,24.0000
42,12281,0.0009,11.0000,11.0000
43,7957,0.0024,19.0000,19.0000
44,10597,0.0010,11.0000,11.0000
45,10987,0.0037,41.0000,41.0000
46,11442,0.0023,26.0000,26.0000
47,7185,0.0013,9.0000,9.0000
48,4794,0.0000,0.0000,0.0000
49,12595,0.0044,55.0000,55.0000
50,700,0.0071,5.0000,5.0000
51,1523,0.0000,0.0000,0.0000
52,1223,0.0041,5.0000,5.0000
53,15402,0.0021,32.0000,32.0000
54,2777,0.0036,10.0000,10.0000
55,15797,0.0018,28.0000,28.0000
56,763,0.0000,0.0000,0.0000
57,11827,0.0031,37.0000,37.0000
58,11089,0.0005,6.0000,6.0000
59,14132,0.0024,34.0000,34.0000
60,15487,6.457E-5,1.0000,1.0000
61,2471,0.0028,7.0000,7.0000
62,13785,0.0017,24.0000,24.0000
63,16837,0.0011,19.0000,19.0000
64,10225,0.0041,42.0000,42.0000
65,11241,0.0000,0.0000,0.0000
66,13118,0.0028,37.0000,37.0000
67,28697,0.0006,16.0000,16.0000
68,11473,0.0004,5.0000,5.0000
69,12849,0.0008,10.0000,10.0000
70,4868,0.0012,6.0000,6.0000
71,11289,0.0020,23.0000,23.0000
72,4068,0.0000,0.0000,0.0000
73,11876,0.0012,14.0000,14.0000
74,15568,0.0014,22.0000,22.0000
75,10401,0.0012,12.0000,12.0000
76,5350,0.0006,3.0000,3.0000
77,13204,0.0014,18.0000,18.0000
78,11627,0.0015,17.0000,17.0000
79,12505,0.0006,8.0000,8.0000
80,6978,0.0021,15.0000,15.0000
81,9968,0.0014,14.0000,14.0000
82,9877,0.0018,18.0000,18.0000
83,8510,0.0020,17.0000,17.0000
84,13869,0.0020,28.0000,28.0000
85,8251,0.0016,13.0000,13.0000
86,12687,0.0011,14.0000,14.0000
87,6204,0.0026,16.0000,16.0000
88,8343,0.0060,50.0000,50.0000
89,6850,0.0012,8.0000,8.0000
90,7714,0.0036,28.0000,28.0000
