 ,Area,Mean,IntDen,RawIntDen
1,7204,0.0039,28,28
2,8660,0.0020,17,17
3,7071,0.0031,22,22
4,9277,0.0027,25,25
5,11938,0.0027,32,32
6,13256,0.0035,46,46
7,6980,0.0021,15,15
8,9230,0.0030,28,28
9,5783,0.0017,10,10
10,8714,0.0025,22,22
11,10039,0.0013,13,13
12,12815,0.0030,39,39
13,10080,0.0023,23,23
14,8635,0.0023,20,20
15,11411,0.0033,38,38
16,13267,0.0047,63,63
17,11480,0.0018,21,21
18,12916,0.0033,43,43
19,13473,0.0056,75,75
20,9759,0.0019,19,19
21,9142,0.0016,15,15
22,13000,0.0020,26,26
23,9156,0.0019,17,17
24,12167,0.0021,26,26
25,9469,0.0023,22,22
26,11808,0.0034,40,40
27,8048,0.0024,19,19
28,11295,0.0039,44,44
29,9879,0.0044,43.0000,43.0000
30,9631,0.0017,16,16
31,1866,0.0107,20,20
32,11331,0.0027,31.0000,31.0000
33,19478,0.0026,51,51
34,12708,0.0020,25,25
35,9828,0.0030,29,29
36,3699,0.0073,27,27
37,9449,0.0026,25,25
38,10535,0.0035,37,37
39,10448,0.0047,49,49
40,2780,0.0119,33,33
41,7463,0.0035,26,26
42,12281,0.0022,27.0000,27.0000
43,7957,0.0021,17,17
44,10597,0.0039,41,41
45,10987,0.0023,25,25
46,11442,0.0019,22,22
47,7185,0.0032,23,23
48,4794,0.0054,26,26
49,12595,0.0017,22,22
50,700,0.0014,1,1
51,1523,0.0046,7,7
52,1223,0.0090,11.0000,11.0000
53,15402,0.0038,58,58
54,2777,0.0061,17,17
55,15797,0.0025,39,39
56,763,0.0026,2,2
57,11827,0.0035,41,41
58,11089,0.0035,39,39
59,14132,0.0023,33,33
60,15487,0.0045,69,69
61,2471,0.0061,15,15
62,13785,0.0032,44,44
63,16837,0.0023,39,39
64,10225,0.0028,29,29
65,11241,0.0040,45,45
66,13118,0.0024,31,31
67,28697,0.0037,105,105
68,11473,0.0022,25,25
69,12849,0.0035,45,45
70,4868,0.0060,29.0000,29.0000
71,11289,0.0036,41,41
72,4068,0.0047,19,19
